STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,monAve_alc,age_mean,income_mea,assaults_Q,liquor_QNS
"36","081","054700","36081054700","547",Census Tract 547,G5020,S,"129153","0","+40.7036294","-073.9097111",,,,11.76515,14.30006
"36","081","055300","36081055300","553",Census Tract 553,G5020,S,"137026","0","+40.6989501","-073.9065464",151.000000,51.000000,140439.000000,17.40283,11.73292
"36","081","053500","36081053500","535",Census Tract 535,G5020,S,"502656","14162","+40.7159321","-073.9189517",,,,1.11054,1.22524
"36","081","054500","36081054500","545",Census Tract 545,G5020,S,"113474","0","+40.7055479","-073.9126214",,,,7.88591,8.45621
"36","081","051100","36081051100","511",Census Tract 511,G5020,S,"273907","0","+40.7273279","-073.9001655",,,,4.52815,5.66587
"36","081","053900","36081053900","539",Census Tract 539,G5020,S,"604540","0","+40.7105131","-073.9165504",,,,4.53694,1.67674
"36","081","059500","36081059500","595",Census Tract 595,G5020,S,"396049","0","+40.7137750","-073.9083422",,,,2.20246,4.13133
"36","081","051700","36081051700","517",Census Tract 517,G5020,S,"254179","0","+40.7246283","-073.9002940",,,,2.34443,4.25045
"36","081","059100","36081059100","591",Census Tract 591,G5020,S,"202060","0","+40.7081118","-073.9097807",,,,6.94976,8.52254
"36","081","059300","36081059300","593",Census Tract 593,G5020,S,"252144","0","+40.7102080","-073.9026508",,,,8.22187,8.15106
"36","081","007300","36081007300","73",Census Tract 73,G5020,S,"141561","0","+40.7669950","-073.9253702",,,,7.63188,19.62438
"36","081","011900","36081011900","119",Census Tract 119,G5020,S,"111475","0","+40.7712054","-073.9060641",,,,3.03356,21.09686
"36","081","052500","36081052500","525",Census Tract 525,G5020,S,"202105","0","+40.7189703","-073.9066375",,,,2.21982,4.40210
"36","081","005900","36081005900","59",Census Tract 59,G5020,S,"190210","0","+40.7597006","-073.9239255",,,,4.05862,46.93784
"36","081","014300","36081014300","143",Census Tract 143,G5020,S,"136506","0","+40.7662996","-073.9115113",,,,65.19554,25.63758
"36","081","016100","36081016100","161",Census Tract 161,G5020,S,"107696","0","+40.7550819","-073.9145862",,,,3.17902,9.91652
"36","081","005500","36081005500","55",Census Tract 55,G5020,S,"165967","0","+40.7537948","-073.9277888",,,,3.80004,14.80108
"36","081","054900","36081054900","549",Census Tract 549,G5020,S,"164280","0","+40.7021910","-073.9078131",,,,16.04639,15.97110
"36","081","015300","36081015300","153",Census Tract 153,G5020,S,"121629","0","+40.7580816","-073.9136474",,,,4.69503,15.57974
"36","081","015100","36081015100","151",Census Tract 151,G5020,S,"133431","0","+40.7601670","-073.9108443",,,,3.84684,13.61515
"36","081","003100","36081003100","31",Census Tract 31,G5020,S,"164962","0","+40.7531761","-073.9339044",,,,11.37211,7.47667
"36","081","005100","36081005100","51",Census Tract 51,G5020,S,"137123","0","+40.7556398","-073.9321381",,,,8.47268,11.03728
